IP	Date	CPU	%user	%nice	%system	%iowait	%steal	%idle
10-0-0-66	10/18/2021 4:53:27 PM	all	8.29	0	8.42	0.5	1.73	81.06
10-0-0-66	10/18/2021 4:53:32 PM	all	9.08	0	8.71	0.37	1.62	80.22
10-0-0-66	10/18/2021 4:53:37 PM	all	8.19	0	8.56	0.49	1.71	81.05
10-0-0-66	10/18/2021 4:53:42 PM	all	8.47	0	8.97	0.37	1.74	80.45
10-0-0-66	10/18/2021 4:53:47 PM	all	8.82	0	8.57	0.62	1.99	80
10-0-0-66	10/18/2021 4:53:52 PM	all	9.2	0	9.2	0.37	1.74	79.48
10-0-0-66	10/18/2021 4:53:57 PM	all	9.34	0	9.58	0.49	1.84	78.75
10-0-0-66	10/18/2021 4:54:02 PM	all	9.68	0	8.93	0.5	1.86	79.03
10-0-0-66	10/18/2021 4:54:07 PM	all	9.55	0	9.42	0.37	1.84	78.82
10-0-0-66	10/18/2021 4:54:12 PM	all	10.8	0	9.2	0.49	1.72	77.79
10-0-0-66	10/18/2021 4:54:17 PM	all	9.1	0	9.1	0.49	1.72	79.58
10-0-0-66	10/18/2021 4:54:22 PM	all	9.79	0	9.3	0.37	1.71	78.82
10-0-0-66	10/18/2021 4:54:27 PM	all	10.15	0	9.17	0.49	1.59	78.61
10-0-0-66	10/18/2021 4:54:32 PM	all	9.95	0	9.58	0.49	1.84	78.13
10-0-0-66	10/18/2021 4:54:37 PM	all	9.37	0	9.25	0.37	1.85	79.16
10-0-0-66	10/18/2021 4:54:42 PM	all	10.54	0	10.17	0.49	1.72	77.08
10-0-0-66	10/18/2021 4:54:47 PM	all	9.85	0	9.73	0.49	1.95	77.98
10-0-0-66	10/18/2021 4:54:52 PM	all	10.12	0	9.38	0.37	1.73	78.4
10-0-0-66	10/18/2021 4:54:57 PM	all	10.76	0	9.67	0.36	1.93	77.27
10-0-0-66	10/18/2021 4:55:02 PM	all	10.27	0	9.17	0.49	1.71	78.36
10-0-0-66	10/18/2021 4:55:07 PM	all	10.56	0	9.59	0.36	1.7	77.79
10-0-0-66	10/18/2021 4:55:12 PM	all	10.21	0	10.21	0.49	1.58	77.52
10-0-0-66	10/18/2021 4:55:17 PM	all	9.85	0	9.85	0.49	1.7	78.1
10-0-0-66	10/18/2021 4:55:22 PM	all	11.75	0	8.94	0.37	1.84	77.11
10-0-0-66	10/18/2021 4:55:27 PM	all	9.88	0	9.14	0.49	1.85	78.64
10-0-0-66	10/18/2021 4:55:32 PM	all	10.54	0	9.31	0.49	1.96	77.7
10-0-0-66	10/18/2021 4:55:37 PM	all	10.72	0	9.76	0.48	1.81	77.23
10-0-0-66	10/18/2021 4:55:42 PM	all	10.81	0	8.97	0.37	1.72	78.13
10-0-0-66	10/18/2021 4:55:47 PM	all	9.63	0	8.78	0.48	1.81	79.3
10-0-0-66	10/18/2021 4:55:52 PM	all	9.4	0	8.8	0.36	1.69	79.76
10-0-0-66	10/18/2021 4:55:57 PM	all	10.06	0	8.61	0.48	1.7	79.15
10-0-0-66	10/18/2021 4:56:02 PM	all	9.89	0	8.93	0.48	1.57	79.13
10-0-0-66	10/18/2021 4:56:07 PM	all	10.06	0	8.83	0.37	1.84	78.9
10-0-0-66	10/18/2021 4:56:12 PM	all	9.91	0	9.54	0.5	1.86	78.19
10-0-0-66	10/18/2021 4:56:17 PM	all	10.02	0	9.17	0.37	1.83	78.61
10-0-0-66	10/18/2021 4:56:22 PM	all	10.73	0	9.02	0.49	1.83	77.93
10-0-0-66	10/18/2021 4:56:27 PM	all	10.3	0	9.94	0.48	1.82	77.45
10-0-0-66	10/18/2021 4:56:32 PM	all	10.73	0	8.75	0.37	1.73	78.42
10-0-0-66	10/18/2021 4:56:37 PM	all	9.92	0	8.71	0.48	1.81	79.08
10-0-0-66	10/18/2021 4:56:42 PM	all	9.98	0	8.77	0.48	1.56	79.21
10-0-0-66	10/18/2021 4:56:47 PM	all	9.84	0	8.76	0.48	1.68	79.23
10-0-0-66	10/18/2021 4:56:52 PM	all	9.69	0	9.2	0.36	1.57	79.18
10-0-0-66	10/18/2021 4:56:57 PM	all	10.13	0	9.16	0.49	1.83	78.39
10-0-0-66	10/18/2021 4:57:02 PM	all	9.76	0	8.78	0.49	1.83	79.15
10-0-0-66	10/18/2021 4:57:07 PM	all	9.57	0	8.96	0.37	1.72	79.39
10-0-0-66	10/18/2021 4:57:12 PM	all	10.69	0	9.46	0.49	1.72	77.64
10-0-0-66	10/18/2021 4:57:17 PM	all	9.79	0	9.18	0.37	1.84	78.82
10-0-0-66	10/18/2021 4:57:22 PM	all	9.8	0	8.95	0.49	1.84	78.92
10-0-0-66	10/18/2021 4:57:27 PM	all	9.99	0	9.62	0.49	1.71	78.2
10-0-0-66	10/18/2021 4:57:32 PM	all	9.25	0	9.12	0.49	1.58	79.56
10-0-0-66	10/18/2021 4:57:37 PM	all	9.18	0	8.7	0.36	1.55	80.21
10-0-0-66	10/18/2021 4:57:42 PM	all	10.21	0	9.23	0.49	1.82	78.25
10-0-0-66	10/18/2021 4:57:47 PM	all	9.38	0	9.01	0.49	1.83	79.29
10-0-0-66	10/18/2021 4:57:52 PM	all	9.34	0	8.5	0.36	1.7	80.1
10-0-0-66	10/18/2021 4:57:57 PM	all	9.93	0	9.56	0.49	1.84	78.19
10-0-0-66	10/18/2021 4:58:02 PM	all	10.44	0	9.09	0.37	1.84	78.26
10-0-0-66	10/18/2021 4:58:07 PM	all	10.42	0	9.33	0.48	1.82	77.94
10-0-0-66	10/18/2021 4:58:12 PM	all	10.63	0	8.9	0.49	1.73	78.24
10-0-0-66	10/18/2021 4:58:17 PM	all	10.81	0	9.36	0.36	1.7	77.76
10-0-0-66	10/18/2021 4:58:22 PM	all	11.18	0	8.97	0.37	1.6	77.89
10-0-0-66	10/18/2021 4:58:27 PM	all	9.99	0	9.74	0.49	1.83	77.95
10-0-0-66	10/18/2021 4:58:32 PM	all	9.83	0	8.96	0.5	1.74	78.98
10-0-0-66	10/18/2021 4:58:37 PM	all	9.2	0	8.83	0.37	1.84	79.75
10-0-0-66	10/18/2021 4:58:42 PM	all	9.17	0	8.31	0.49	1.71	80.32
10-0-0-66	10/18/2021 4:58:47 PM	all	9.44	0	9.07	0.49	1.84	79.17
10-0-0-66	10/18/2021 4:58:52 PM	all	9.83	0	9.09	0.49	1.72	78.87
10-0-0-66	10/18/2021 4:58:57 PM	all	9.62	0	8.75	0.62	1.85	79.16
10-0-0-66	10/18/2021 4:59:02 PM	all	9.4	0	8.55	0.37	1.71	79.98
10-0-0-66	10/18/2021 4:59:07 PM	all	10.04	0	8.94	0.49	1.84	78.7
10-0-0-66	10/18/2021 4:59:12 PM	all	9.8	0	8.81	0.5	1.74	79.16
10-0-0-66	10/18/2021 4:59:17 PM	all	10.1	0	8.62	0.49	1.85	78.94
10-0-0-66	10/18/2021 4:59:22 PM	all	9.28	0	8.91	0.37	1.86	79.58
10-0-0-66	10/18/2021 4:59:27 PM	all	9.51	0	9.01	0.49	1.85	79.14
